timestamp,agent_name,step_code,tool_start,tool_end,tool_output,aircraft_direction,aircraft_type,flight_number,flight_status,assigned_runway_id,assigned_runway_length,deplaning_equipment_selection_execution_mode,gate_id,acu_readiness_status,gpu_readiness_status,wheels_chocks_readiness_status,ground_clearance_type,ground_clearance_status,wheels_chocks_installation_status,engines_stop_status,acu_connection_status,gpu_connection_status,jetbridge_connection_status,door_opening_status,passenger_disembarkation_status,baggage_unload_status,crew_debrief_status,crew_exit_status,cabin_cleaning_status,lavatory_service_status,catering_loading_status,inspection_maintenance_status,fueling_status
2026-01-30 00:41:00,TrackerAPI-32,,True,,,,B747,AF84,on blocks,,,,A14,,,,,,,,,,,,,,,,,,,,
2026-01-30 00:41:00,TrackerAPI-32,,,True,"[null, null, ""incoming"", null, ""B747"", ""19R"", 2350, ""completed"", ""completed"", ""completed"", ""CLEARED_FOR_LANDING"", ""completed"", ""completed"", ""Jetway"", ""open"", ""stopped"", ""AF84"", ""on blocks"", ""completed"", ""A14"", null, null, ""GRANTED"", ""taxi in"", ""completed"", ""connected"", ""completed"", ""completed"", ""installed"", ""Ready""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 20:43:09,TrackerAPI-32,,True,,,,B747,AF84,on blocks,,,,A14,,,,,,,,,,,,,,,,,,,,
2026-02-09 20:43:14,TrackerAPI-32,,,True,"[null, null, ""incoming"", null, ""B747"", ""19R"", 2350, ""completed"", ""completed"", ""completed"", ""CLEARED_FOR_LANDING"", ""completed"", ""completed"", ""Jetway"", ""open"", ""stopped"", ""AF84"", ""on blocks"", null, ""A14"", null, null, ""granted"", ""taxi in"", null, ""connected"", ""completed"", ""completed"", ""installed"", ""ready""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29 13:42:07,TrackerAPI-03,,True,,,,B747,AF84,LANDED,19R,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29 13:42:07,TrackerAPI-03,,,True,"[null, null, ""incoming"", null, ""B747"", ""19R"", 2350, null, null, null, ""CLEARED_FOR_LANDING"", null, null, null, null, null, ""AF84"", ""LANDED"", null, null, null, null, null, null, null, null, null, null, null, null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29 17:42:42,TrackerAPI-03,,True,,,,B747,AF84,landed,19R,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29 17:42:43,TrackerAPI-03,,,True,"[null, null, ""incoming"", null, ""B747"", ""19R"", 2350, null, null, null, ""CLEARED_FOR_LANDING"", null, null, null, null, null, ""AF84"", ""landed"", null, null, null, null, null, null, null, null, null, null, null, null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29 17:45:50,TrackerAPI-03,,True,,,,B747,AF84,LANDED,19R,,,,,,,,,,,,,,,,,,,,,,,
2026-01-29 17:45:50,TrackerAPI-03,,,True,"[null, null, ""incoming"", null, ""B747"", ""19R"", 2350, null, null, null, ""CLEARED_FOR_LANDING"", null, null, null, null, null, ""AF84"", ""LANDED"", null, null, null, null, null, null, null, null, null, null, null, null]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
